id_seguimiento,id_arbol,fecha_hora,tipo_seguimiento,estado_salud,fuste,cazuela,ahuecamiento,inclinacion,altura,fase_vital,riesgo,levantamiento_vereda,tipo_tierra,tipo_calle,luz_led,prox_fecha_mante,direccion,tipo_vereda,lado_vereda,especie,tipo_tendido,distancia_entre_ar,distancia_al_muro,activo,lng,lat
1,8,2023-05-11 11:13:08.000,Plantacion,Bueno,Entre 0.10 y 0.40 m,Mediana,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,2023-11-03,San Juan 1278,Chica,Par,Crespón,Ninguno,5.0,1.0,True,-588.370.984.073.059.000,-274.718.559.881.730.000
3,16,2023-05-11 11:25:05.000,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,2023-06-30,San juan 1268,Chica,Impar,Crespón,Ninguno,5.0,1.0,True,-588.371.212.500.610.000,-274.716.634.611.739.000
4,17,2023-05-11 11:27:05.000,Plantacion,Bueno,Menor a 0.10 m,Chica,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Limosa,Asfalto,Si,2023-10-09,Bolivar 1074,Mediana,Par,Paraíso,Media Tensión (Con Protección),5.0,2.0,True,-588.375.667.790.110.000,-274.708.885.098.159.000
5,18,2023-05-11 11:33:16.000,Plantacion,Bueno,Entre 0.10 y 0.40 m,Mediana,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,2023-07-28,Bolívar 1110,Grande,Par,Crespón,Preensamblado,3.0,1.0,True,-588.369.429.837.179.000,-274.709.216.731.990.000
6,19,2023-05-11 11:34:17.000,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,Si,2023-05-11,Bolivar 1134,Grande,Par,Crespón,Preensamblado,5.0,2.0,True,-588.366.704.269.759.000,-274.709.510.070.949.000
7,20,2023-05-11 12:01:04.000,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,No,2023-05-11,Roca s/n,Grande,Par,Moringa,Ninguno,4.0,0.0,True,-588.220.738.847.070.000,-27.467.295.483.101.000
8,21,2023-05-11 12:01:17.000,Plantacion,Bueno,Entre 0.10 y 0.40 m,Grande,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,Considerable,Arenosa,Asfalto,No,2023-05-11,Calle Roca S/N,Grande,Par,Palo Borracho,Preensamblado,4.0,0.0,True,-588.219.546.705.109.000,-274.672.773.004.770.000
9,22,2023-05-11 12:05:05.000,Plantacion,Bueno,Menor a 0.10 m,Nivel del Piso,No,Leve,De 10 a 15 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,No,2023-05-11,Roca sn,Grande,Par,Jacarandá,Preensamblado,5.0,0.0,True,-588.220.262.548.399.000,-274.672.459.999.659.000
10,23,2023-05-11 12:07:10.000,Plantacion,Bueno,Entre 0.10 y 0.40 m,Sin Cazoleta,No,Sin inclinación,Menor a 5 m,Añoso,Sin riesgo de caída,Considerable,Arenosa,Asfalto,Si,2023-09-13,Roca 750,Grande,Par,Ibirá Pitá,Media Tensión (Con Protección),3.0,2.0,True,-588.222.967.710.940.000,-274.674.153.165.349.000
11,24,2023-05-11 12:10:23.000,Plantacion,Bueno,Mayor a 0.8 m,Nivel del Piso,No,Sin inclinación,Menor a 5 m,Joven,Sin riesgo de caída,No,Arenosa,Asfalto,No,2023-05-11,Roca sn,Grande,Par,Jacarandá,Preensamblado,5.0,0.0,True,-58.821.989.624.731.900,-274.672.200.462.280.000
